ESTACIÓN DE SERVICIO,RAZÓN SOCIAL,DOMICILIO,ENTIDAD FEDERATIVA,MUNICIPIO,EXPEDIENTE,FECHA DE VERIFICACIÓN,SEMAFORO AL 18 DE SEPTIEMBRE DE 2012
10034,"ESTACIONES DE SERVICIO DEL MAYAB, S. A. DE C. V.                                                                                                                                                                                                               ",CARRETERA MUNA- FEKLIPE CARRILLO PUERTO KM. 41+600                                                                                                                                                                                                             ,YUCATAN                  ,AKIL                                                                                                                                                                                                                                                           ,14/014345-2012                                    ,17/07/2012,VERDE
10035,"SERVICIO LAAG, S.A. DE C.V.                                                                                                                                                                                                                                    ",LABARO PATRIO NO. 146                                                                                                                                                                                                                                          ,TAMAULIPAS               ,REYNOSA                                                                                                                                                                                                                                                        ,17/013607-2012                                    ,11/07/2012,VERDE
10037,"QRO STAR, S.A DE C.V.                                                                                                                                                                                                                                          ",AV.CERRO DE SOMBRERETE #2021                                                                                                                                                                                                                                   ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,20/007571-2012                                    ,11/04/2012,VERDE
10039,"POLIEMIXTEC, S.A. DE C.V.                                                                                                                                                                                                                                      ",CARRETERA CRISTOBAL COLON NO. 100 KM.- 49+500                                                                                                                                                                                                                  ,OAXACA                   ,VILLA TEJUPAM DE LA UNION                                                                                                                                                                                                                                      ,21/012709-2012                                    ,13/06/2012,VERDE
10041,"SUPER'S RAPIDITOS BIP BIP, S.A. DE C.V.                                                                                                                                                                                                                        ",AV. MANUEL TALAMAS CAMANDARI NO. 1900                                                                                                                                                                                                                          ,CHIHUAHUA                ,JUAREZ                                                                                                                                                                                                                                                         ,18/015449-2012                                    ,31/07/2012,VERDE
10042,"POWER GAS, S.A. DE C.V.                                                                                                                                                                                                                                        ",BOULEVARD ENRIQUE MAZON LOPEZ NO. 724                                                                                                                                                                                                                          ,SONORA                   ,HERMOSILLO                                                                                                                                                                                                                                                     ,01/012863-2012                                    ,15/06/2012,VERDE
10048,JOSE BENJAMIN FRAGOSO LUNA                                                                                                                                                                                                                                     ,CARR.FED.BOCA DEL RIO-ANTON LIZARDO NO. 283                                                                                                                                                                                                                    ,VERACRUZ                 ,ALVARADO                                                                                                                                                                                                                                                       ,20/015564-2012                                    ,08/08/2012,VERDE
10049,"GASOLINERA LA VERBENA, S.A. DE C.V.                                                                                                                                                                                                                            ",BLVD. CAMINO DEL SERI Y BLVD. LAS QUINTAS AL SUR                                                                                                                                                                                                               ,SONORA                   ,HERMOSILLO                                                                                                                                                                                                                                                     ,01/009409-2012                                    ,17/05/2012,VERDE
1005,NOVOGAS TOLLOCAN S.A. DE C.V.                                                                                                                                                                                                                                  ,GRAL. PRIM Y VICTIMAS DEL 25 DE JUNIO  VERACRUZ VER                                                                                                                                                                                                            ,VERACRUZ                 ,VERACRUZ                                                                                                                                                                                                                                                       ,13/008769-2012                                    ,27/04/2012,VERDE
10050,JORGE FLORES MEDINA                                                                                                                                                                                                                                            ,AVENIDA SAN JERONIMO NO. 105                                                                                                                                                                                                                                   ,ZACATECAS                ,GUADALUPE                                                                                                                                                                                                                                                      ,03/005600-2012                                    ,27/03/2012,VERDE
10052,"LATITUD 5 ESTRELLAS, S.A. DE C.V.                                                                                                                                                                                                                              ",BOULEVARD SANTA CATARINA NO. 1005                                                                                                                                                                                                                              ,HIDALGO                  ,PACHUCA DE SOTO                                                                                                                                                                                                                                                ,20/011868-2012                                    ,04/06/2012,VERDE
10057,"SERVICIO XILOTZINGO, S.A. DE C.V.                                                                                                                                                                                                                              ",CAMINO NACIONAL NO.319                                                                                                                                                                                                                                         ,PUEBLA                   ,SAN MARTIN TEXMELUCAN                                                                                                                                                                                                                                          ,21/015604-2012                                    ,02/08/2012,VERDE
10058,CORNELIUS BANMAN ENNS                                                                                                                                                                                                                                          ,BLVD EL VALLE #50                                                                                                                                                                                                                                              ,CHIHUAHUA                ,BUENAVENTURA                                                                                                                                                                                                                                                   ,18/009916-2012                                    ,11/05/2012,VERDE
10059,"LA CANTERA GASO, S.A. DE C.V.                                                                                                                                                                                                                                  ",BOULEVARD TEPIC-AGUAMILPA NO. 1140                                                                                                                                                                                                                             ,NAYARIT                  ,TEPIC                                                                                                                                                                                                                                                          ,15/010708-2012                                    ,23/05/2012,AMARILLO
10062,"ESTACION DE SERVICIO MONET, S.A. DE C.V.                                                                                                                                                                                                                       ",CARRETERA QUERETARO SAN LUIS POTOSI KM. 29+291                                                                                                                                                                                                                 ,QUERETARO                ,SANTIAGO DE QUERETARO                                                                                                                                                                                                                                          ,07/010402-2012                                    ,18/05/2012,AMARILLO
10068,ARNULFO FERNANDEZ ESPARZA                                                                                                                                                                                                                                      ,JUAREZ NO. 503                                                                                                                                                                                                                                                 ,NUEVO LEON               ,GARCIA                                                                                                                                                                                                                                                         ,03/016538-2012                                    ,14/08/2012,VERDE
10070,"SERVICIO TORRES DIEZ, S.A. DE C.V.                                                                                                                                                                                                                             ",AV. DE LAS TORRES NO. 1200                                                                                                                                                                                                                                     ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,09/014198-2012                                    ,18/07/2012,VERDE
10074,"PETROMAR DEL PACIFICO, S.A. DE C.V.                                                                                                                                                                                                                            ",AVE. LIBRAMIENTO NO. 2 ESQUINA CALLE SAN LUIS S/N                                                                                                                                                                                                              ,SINALOA                  ,MAZATLAN                                                                                                                                                                                                                                                       ,26/012023-2012                                    ,06/06/2012,VERDE
10078,"QU SER,S.A. DE C.V.                                                                                                                                                                                                                                            ",CARRETERA JOROBAS TULA KM. 8 NO. 8-A                                                                                                                                                                                                                           ,HIDALGO                  ,ATOTONILCO DE TULA                                                                                                                                                                                                                                             ,20/010954-2012                                    ,22/05/2012,AMARILLO
1008,"COMBUSTIBLES Y LUBRICANTES ALVARADO, S.A. DE C.V.                                                                                                                                                                                                              ",CARRET. VERACRUZ-ALVARADO KM. 70                                                                                                                                                                                                                               ,VERACRUZ                 ,ALVARADO                                                                                                                                                                                                                                                       ,20/016332-2012                                    ,23/08/2012,VERDE
10082,"GASOLINERAS PABA, S.A DE C.V.                                                                                                                                                                                                                                  ",BLVD. CINCO DE FEBRERO ESQ. FELIX ORTEGA 1215                                                                                                                                                                                                                  ,BAJA CALIFORNIA SUR      ,LA PAZ                                                                                                                                                                                                                                                         ,08/008626-2012                                    ,02/05/2012,VERDE
10085,"CONSORCIO DEL PINAR, S.A. DE C.V.                                                                                                                                                                                                                              ",BLVR. MARCELINO GARCIA BARRAGAN NO. 2440                                                                                                                                                                                                                       ,JALISCO                  ,GUADALAJARA                                                                                                                                                                                                                                                    ,02/014964-2012                                    ,09/08/2012,VERDE
10089,"GRUPO THOR SPARING, S.A. DE C.V.                                                                                                                                                                                                                               ",AUTOPISTA  MEXICO CUERNAVACA KM. 117+70                                                                                                                                                                                                                        ,MORELOS                  ,PUENTE DE IXTLA                                                                                                                                                                                                                                                ,02/009453-2012                                    ,05/05/2012,VERDE
10090,CENTRO GASOLINERO ANIMAS S.A. DE C.V.                                                                                                                                                                                                                          ,CARRETERA FEDERAL VERACRUZ - XALAPA  KM. 97.77                                                                                                                                                                                                                 ,VERACRUZ                 ,VERACRUZ                                                                                                                                                                                                                                                       ,13/011572-2012                                    ,04/06/2012,AMARILLO
10091,"SERVICIO ORQUIDEAS, S.A. DE C.V.                                                                                                                                                                                                                               ","LOTE 1110-16 FRANJA NORTE, MANZANA 11                                                                                                                                                                                                                          ",QUINTANA ROO             ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,02/006080-2012                                    ,26/03/2012,VERDE
10094,COMBUSTIBLES HUEHUETOCA S.A.DE C.V.                                                                                                                                                                                                                            ,CARRETERA  FEDERAL 180 KM. 3+711                                                                                                                                                                                                                               ,VERACRUZ                 ,MEDELLIN                                                                                                                                                                                                                                                       ,13/015202-2012                                    ,01/08/2012,VERDE
10095,"ESTACIONES DE SERVICIO PENINSULARES, S.A. DE C.V.                                                                                                                                                                                                              ",CARRETERA TRANSPENINSULAR 2049                                                                                                                                                                                                                                 ,BAJA CALIFORNIA SUR      ,LOS CABOS                                                                                                                                                                                                                                                      ,08/011361-2012                                    ,30/05/2012,VERDE
10098,"SERVICIOS CHULAVISTA, S.A. DE C.V.                                                                                                                                                                                                                             ",CALZADA LAS TORRES S/N                                                                                                                                                                                                                                         ,SINALOA                  ,CULIACAN                                                                                                                                                                                                                                                       ,26/014806-2012                                    ,23/07/2012,VERDE
10100,"GASOMICH JUAREZ, SA DE CV                                                                                                                                                                                                                                      ",AV.TORREON NUEVO #1560                                                                                                                                                                                                                                         ,MICHOACAN                ,MORELIA                                                                                                                                                                                                                                                        ,09/015132-2012                                    ,01/08/2012,AMARILLO
10107,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.                                                                                                                                                                                                                  ",AV. JOSE VASCONCELOS NO. 667                                                                                                                                                                                                                                   ,NUEVO LEON               ,SAN PEDRO GARZA GARCIA                                                                                                                                                                                                                                         ,03/007036-2012                                    ,04/04/2012,VERDE
10111,"COMBUSTIBLES CAMINO REAL, S. DE R.L.                                                                                                                                                                                                                           ",AVE. DIVISION DEL NORTE NO. 168                                                                                                                                                                                                                                ,TAMAULIPAS               ,MATAMOROS                                                                                                                                                                                                                                                      ,03/012181-2012                                    ,26/06/2012,VERDE
10113,"OPERADORA KINZA, S.A. DE C.V.                                                                                                                                                                                                                                  ",AV. MOCTEZUMA ESQ. CON AV. TEPEYAC S/N                                                                                                                                                                                                                         ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,22/014695-2012                                    ,17/07/2012,VERDE
10114,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.                                                                                                                                                                                                                  ",AV. ACUEDUCTO NO. 300                                                                                                                                                                                                                                          ,NUEVO LEON               ,GUADALUPE                                                                                                                                                                                                                                                      ,16/015368-2012                                    ,10/08/2012,VERDE
10117,"ESTACIONES MEXPET, S.A. DE C.V.                                                                                                                                                                                                                                ",LA PAROTA NO. 100                                                                                                                                                                                                                                              ,MORELOS                  ,CUERNAVACA                                                                                                                                                                                                                                                     ,20/009998-2012                                    ,11/05/2012,VERDE
10118,"ABC FUEL SERVICES, S. DE R.L. DE C.V.                                                                                                                                                                                                                          ",AV. ACUEDUCTO S/N ESQ. AV. DEL VALLE                                                                                                                                                                                                                           ,JALISCO                  ,ZAPOPAN                                                                                                                                                                                                                                                        ,09/013313-2012                                    ,16/07/2012,VERDE
10120,"SERVICIO CUALIMEX, S.A. DE C.V.                                                                                                                                                                                                                                ",Carretera México-Querétaro No. 2247                                                                                                                                                                                                                            ,MEXICO                   ,TLALNEPANTLA                                                                                                                                                                                                                                                   ,18/007477-2012                                    ,12/04/2012,VERDE
10126,"MULTISERVICIO TAMAZUNCHALE, S.A. DE C.V.                                                                                                                                                                                                                       ",PROLONGACION 20 DE NOVIEMBRE NO. 6                                                                                                                                                                                                                             ,SAN LUIS POTOSI          ,TAMAZUNCHALE                                                                                                                                                                                                                                                   ,03/009498-2012                                    ,05/05/2012,VERDE
10129,FRANCISCO JAVIER CEDENO SERENO                                                                                                                                                                                                                                 ,AV.MORELIA-AEROPUERTO NO.1100                                                                                                                                                                                                                                  ,MICHOACAN                ,MORELIA                                                                                                                                                                                                                                                        ,09/014229-2012                                    ,25/07/2012,VERDE
10130,"VAGU LUBRICANTES, S.A. DE C.V.                                                                                                                                                                                                                                 ",BOULEVARD LUIS DONALDO COLOSIO MURRIETA No. 1963                                                                                                                                                                                                               ,SONORA                   ,NOGALES                                                                                                                                                                                                                                                        ,01/009410-2012                                    ,05/05/2012,VERDE
10131,"SERVICIO AGUAJITOS, S.A. DE C.V.                                                                                                                                                                                                                               ",LOS AGUAJITOS NO. 1938                                                                                                                                                                                                                                         ,BAJA CALIFORNIA SUR      ,LOS CABOS                                                                                                                                                                                                                                                      ,08/011365-2012                                    ,31/05/2012,ROJO
